stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
36,51,TELANGANA,Rajendranagar,Chelvella,258736,1145131,585967,559164,93495,47180,46314,20032,10388,9644,826753,444571,382182,318377,141395,176982,424431,342638,265694,76944,81792,30897,1839,171874,193154,600,188776,14639,133138,163607,135756,94213,25566
36,52,TELANGANA,Serilingampally,Chelvella,182602,806711,412476,394234,56862,28591,28270,12770,6664,6105,590175,315902,274272,216535,96573,119962,297087,238406,186140,52266,58680,12332,1195,126887,132644,56,131448,6679,92570,113760,91750,66311,18877
36,53,TELANGANA,Chevella,Chelvella,66551,287371,146551,140819,59390,30260,29130,9741,4934,4807,165331,95834,69497,122039,50717,71322,135686,113695,71122,42573,21990,92565,1617,27641,61495,2971,37000,36417,23604,41794,47325,17500,2032
36,54,TELANGANA,Pargi,Chelvella,61466,301238,151396,149842,52669,26054,26615,46009,23620,22389,146212,86428,59784,155026,64968,90058,155925,127850,70310,57540,28075,126638,1544,14790,51463,9001,12334,54027,4851,23250,37613,7160,972
36,55,TELANGANA,Vicaradab,Chelvella,64342,294926,147906,147020,72671,35612,37059,16849,8705,8144,162013,93630,68383,132913,54276,78637,149920,127715,72647,55068,22205,117857,896,22272,57444,6029,20046,51727,8862,31510,43304,9139,1126
36,56,TELANGANA,Tandur,Chelvella,53354,253886,126044,127842,38069,18569,19500,25305,12538,12767,133429,75736,57693,120457,50308,70149,121422,96365,58941,37424,25057,76649,631,24621,46945,5889,14382,40938,9230,23535,30918,7163,903
36,57,TELANGANA,Musheerabad,Secundrabad,20173,89089,45563,43525,6099,3075,3024,1420,741,678,65377,34980,30396,23711,10583,13128,32758,26270,20543,5726,6488,1185,128,14109,14597,2,14534,613,10263,12558,10070,7339,2106
36,58,TELANGANA,Malakpet,Hyderabad,14634,64625,33049,31575,4414,2225,2188,1031,538,492,47419,25369,22049,17205,7680,9525,23756,19051,14898,4153,4704,860,93,10229,10580,1,10534,445,7436,9101,7301,5318,1524
36,59,TELANGANA,Amberpet,Secundrabad,12604,57936,29792,28144,4302,2216,2085,1035,562,473,42927,23214,19713,15009,6578,8431,20422,16405,12832,3572,4017,742,80,8769,9255,11,9125,421,6440,7894,6406,4628,1309
36,6,TELANGANA,Khanapur,Adilabad,58905,252462,125942,126520,44960,22316,22644,85615,43125,42490,128899,76010,52889,123563,49932,73631,131438,107284,58529,48755,24154,99940,3244,4333,50315,7274,9473,49617,7436,22955,32480,5931,661
