State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP,pid,Normalized_Party
Andhra_Pradesh,2014,5,14,4,21,0,1,JEEVAN REDDY THATIPARTHI,M,INC,62616,61,GEN,148528,206271,JAGTIAL,GEN,KARIMANAGAR,TELANGANA,11,72.01,42.16,no,5.27,2.94,AEAP241,INC
Andhra_Pradesh,2014,5,14,4,22,0,1,KOPPULA ESHWAR,M,TRS,67836,55,SC,146887,197408,DHARMAPURI,SC,KARIMANAGAR,TELANGANA,12,74.41,46.18,no,12.72,3.03,AEAP4661,TRS
Andhra_Pradesh,2014,5,14,4,23,0,1,SOMARAPU SATYANARAYANA,M,TRS,35789,65,GEN,137638,222478,RAMAGUNDAM,GEN,KARIMANAGAR,TELANGANA,27,61.87,26,no,1.67,5.88,AEAP266,TRS
Andhra_Pradesh,2014,5,14,4,24,0,1,PUTTA MADHUKAR,M,TRS,84037,42,GEN,170196,210232,MANTHANI,GEN,KARIMANAGAR,TELANGANA,9,80.96,49.38,no,11.38,2.63,AEAP294,TRS
Andhra_Pradesh,2014,5,14,4,25,0,1,MANOHAR REDDY DASARI,M,TRS,96220,60,GEN,167829,221013,PEDDAPALLE,GEN,KARIMANAGAR,TELANGANA,13,75.94,57.33,no,37.35,2.56,AEAP304,TRS
Andhra_Pradesh,2014,5,14,4,26,0,1,GANGULA KAMALAKAR,M,TRS,77209,46,GEN,188673,322595,KARIMNAGAR,GEN,KARIMANAGAR,TELANGANA,12,58.49,40.92,no,13.12,3.12,AEAP318,TRS
Andhra_Pradesh,2014,5,14,4,27,0,1,BODIGA SHOBHA,F,TRS,86841,39,SC,149395,204776,CHOPPADANDI,SC,KARIMANAGAR,TELANGANA,16,72.96,58.13,no,36.8,2.5,AEAP331,TRS
Andhra_Pradesh,2014,5,14,4,28,0,1,RAMESH CHENNAMANENI,M,TRS,58414,58,GEN,136518,186476,VEMULAWADA,GEN,KARIMANAGAR,TELANGANA,10,73.21,42.79,no,3.86,2.94,AEAP348,TRS
Andhra_Pradesh,2014,5,14,4,29,0,1,K.TARAKARAMA RAO (KTR),M,TRS,92135,38,GEN,157869,214433,SIRCILLA,GEN,KARIMANAGAR,TELANGANA,10,73.62,58.36,no,33.57,2.44,AEAP359,TRS
Andhra_Pradesh,2014,5,14,4,30,0,1,RASAMAI BALAKISHAN,M,TRS,85010,48,SC,156847,195380,MANAKONDUR,SC,KARIMANAGAR,TELANGANA,14,80.28,54.2,no,29.92,2.7,AEAP370,TRS
Andhra_Pradesh,2014,5,14,4,31,0,1,EATALA RAJENDER,M,TRS,95315,50,GEN,162201,209783,HUZURABAD,GEN,KARIMANAGAR,TELANGANA,9,77.32,58.76,no,35.16,2.38,AEAP385,TRS
Andhra_Pradesh,2014,5,14,4,32,0,1,VODITHELA SATHISH KUMAR,M,TRS,96517,45,GEN,175485,217367,HUSNABAD,GEN,KARIMANAGAR,TELANGANA,13,80.73,55,no,19.53,2.33,AEAP395,TRS
Andhra_Pradesh,2014,5,14,4,33,0,1,THANNEERU HARISH RAO,M,TRS,108699,42,GEN,151049,202385,SIDDIPET,GEN,MEDAK,TELANGANA,11,74.63,71.96,no,61.79,1.85,AEAP409,TRS
Andhra_Pradesh,2014,5,14,4,34,0,1,M.PADMA DEVENDER REDDY,F,TRS,89654,44,GEN,158292,203709,MEDAK,GEN,MEDAK,TELANGANA,11,77.7,56.64,no,25.02,2.38,AEAP421,TRS
Andhra_Pradesh,2014,5,14,4,35,0,1,PATLOLLA KISHTA REDDY,M,INC,62347,66,GEN,157868,203052,NARAYANKHED,GEN,MEDAK,TELANGANA,8,77.75,39.49,no,9.34,3.12,AEAP433,INC
Andhra_Pradesh,2014,5,14,4,36,0,1,BABUMOHANPALLY,M,TRS,87087,59,SC,180762,226779,ANDOLE,SC,MEDAK,TELANGANA,5,79.71,48.18,no,1.82,2.27,AEAP450,TRS
