Table,State_Code,District_Code,District_Name,Rural_or_Urban,Literacy,Total_Population,Male_Population,Female_Population,Total_Main_Workers,Total_Main_Male_Workers,Total_Main_Female_Workers,Total_Marginal_Workers,Total_Marginal_Male_Workers,Total_Marginal_Female_Workers,Seeking_Total_Workers,Seeking_Male_Workers,Seeking_Female_Workers,Total_Person_Nonworkers,Total_Male_Nonworkers,Total_Female_Nonworkers,Total_Person_Nonworkers_Seeking,Total_Male_Nonworkers_Seeking,Total_Female_Nonworkers_Seeking
B0103,01,007,District - Kathua,Total,Technical diploma or certificate not equal to degree,1469,1213,256,721,654,67,60,51,9,46,40,6,688,508,180,345,264,81
B0103,01,007,District - Kathua,Total,Graduate and above other than technical degree,19176,10871,8305,9812,7458,2354,754,485,269,505,309,196,8610,2928,5682,3809,1314,2495
B0103,01,007,District - Kathua,Total,Technical degree or diploma equal to degree or post-graduate degree,7157,4351,2806,3866,2821,1045,247,150,97,194,111,83,3044,1380,1664,1509,635,874
B0103,01,007,District - Kathua,Rural,Total,526722,278126,248596,118108,102170,15938,54545,35682,18863,25344,17996,7348,354069,140274,213795,41562,15584,25978
B0103,01,007,District - Kathua,Rural,Illiterate,206358,88251,118107,33453,25045,8408,22364,10700,11664,8742,4686,4056,150541,52506,98035,8099,1027,7072
B0103,01,007,District - Kathua,Rural,Literate,320364,189875,130489,84655,77125,7530,32181,24982,7199,16602,13310,3292,203528,87768,115760,33463,14557,18906
B0103,01,007,District - Kathua,Rural,Literate but below matric/secondary,199686,116073,83613,41336,38717,2619,21372,16600,4772,10407,8485,1922,136978,60756,76222,12705,4948,7757
B0103,01,007,District - Kathua,Rural,Matric/secondary but below graduate,97902,60269,37633,32717,30011,2706,9195,7271,1924,5257,4174,1083,55990,22987,33003,16743,8057,8686
B0103,01,007,District - Kathua,Rural,Technical diploma or certificate not equal to degree,921,763,158,455,409,46,38,35,3,29,28,1,428,319,109,240,184,56
B0103,01,007,District - Kathua,Rural,Graduate and above other than technical degree,11501,6768,4733,5910,4598,1312,600,414,186,405,275,130,4991,1756,3235,2442,867,1575
B0103,01,007,District - Kathua,Rural,Technical degree or diploma equal to degree or post-graduate degree,4090,2558,1532,2271,1710,561,169,103,66,137,80,57,1650,745,905,859,352,507
B0103,01,007,District - Kathua,Urban,Total,89713,47983,41730,24739,21234,3505,3039,2462,577,1406,1072,334,61935,24287,37648,7956,3410,4546
B0103,01,007,District - Kathua,Urban,Illiterate,20873,9359,11514,2807,2215,592,692,565,127,192,155,37,17374,6579,10795,429,109,320
