stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
23,174,MADHYA PRADESH,Bagali,Khandwa,68217,341942,175338,166604,40188,20735,19453,156840,79845,76995,164347,99751,64596,177595,75587,102008,162105,113140,75557,37583,48965,143224,4243,5375,57274,10217,15431,58732,4924,16814,25488,10904,1049
23,175,MADHYA PRADESH,Mandhata,Khandwa,57632,273697,141593,132104,35675,18409,17266,91807,47460,44347,150351,91410,58941,123346,50183,73163,132984,109671,70139,39532,23313,112882,3837,10965,43462,13457,14036,37243,4655,15130,21896,8360,608
23,176,MADHYA PRADESH,Harsud,Betul,58516,301352,154930,146422,22286,11695,10591,174854,89011,85843,139013,85198,53815,162339,69732,92607,146781,107680,68078,39602,39101,135553,5016,3364,42773,15179,10581,51078,1818,8719,13933,6441,484
23,177,MADHYA PRADESH,Khandwa,Khandwa,64448,316575,162850,153724,49162,25152,24010,43073,22251,20821,212689,119314,93375,103885,43535,60349,127857,104148,78019,26129,23709,64160,3869,28285,53646,10299,29909,28454,25445,32294,28098,18137,1846
23,178,MADHYA PRADESH,Pandhana,Khandwa,86130,419005,215180,203825,49278,25314,23963,150949,76911,74038,229436,136249,93186,189569,78931,110638,205867,170746,106836,63909,35120,173957,6753,18968,63760,21620,17913,56438,10007,23151,26172,12119,826
23,179,MADHYA PRADESH,Nepanagar,Khandwa,96874,512376,261810,250565,33497,17203,16293,206547,104394,102153,261018,149392,111625,251358,112417,138940,223461,184180,124624,59556,39280,155400,4724,15327,72725,23074,31219,57045,25224,36642,31633,14707,1302
23,18,MADHYA PRADESH,Bhitarwar,Gwalior,67332,350316,187786,162529,67057,35931,31126,39148,20236,18912,191982,121214,70767,158334,66571,91762,138125,97439,78820,18619,40685,106499,3396,4630,43076,22582,14323,31481,4940,22342,34413,10838,1464
23,180,MADHYA PRADESH,Burhanpur,Khandwa,49167,244130,126005,118125,30585,15747,14838,22996,11751,11244,146884,83221,63663,97245,42784,54461,104281,90134,64033,26100,14147,68107,3517,7556,40883,8053,20090,26940,15718,22423,17128,7980,864
23,181,MADHYA PRADESH,Bhikangaon,Khandwa,60372,331522,167029,164493,14953,7626,7327,225550,112873,112677,132304,77294,55010,199218,89735,109483,160082,132720,77047,55673,27362,145154,3088,6813,39443,20402,5354,35855,3478,9670,15108,6418,403
23,182,MADHYA PRADESH,Badwah,Khandwa,62115,307619,158080,149539,47173,24266,22907,60478,30664,29814,184156,108926,75230,123463,49154,74309,149604,131198,82819,48379,18406,116265,3774,20291,53766,7972,19527,21202,12233,24740,29089,15223,1142
